Product,Old Price,New Price,Change %
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD |Smart 12 Layer Protection|Type C Input & Output|Triple Output Ports|Supports Android,Apple, Tablets, Earbuds,Watch(MI Powerbank),Black",2083.0,2083.0,0.0
"TVS ELECTRONICS CC-232 Classic Heavy-Duty Note Counter | Fully Automatic Money Counting Machine | 1200 Notes/Min Speed | Mg, UV & IR Fake Note Detector | Compatible with New & Old Currency Counter",6599.0,6599.0,0.0
"Redmi Pad 2 Wi-Fi + Cellular, Active Pen Support, 27.94cm(11"") Model, 2.5K Sharp & Clear Display, 6GB, 128GB, All Day & More 9000mAh Battery, AI-Enabled, Dolby Atmos, HyperOS 2, Graphite Grey",17999.0,17999.0,0.0
"OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Translation, 12.4mm Drivers, Dual-Device Connectivity, 47ms Low Latency - Ash Black",1799.0,1799.0,0.0
Lifelong Electronics 20000mAh 22.5W Fast Charging Power Bank | 3 Inputs (1 Built-in USB A Cable + 1 C + 1 Lightning Port) & 6 Outputs (3 Built-in Cables + 1 C + 2 A Port) | Small Pocket Size Powerbank,1748.0,1748.0,0.0
"Portronics Ruffpad 8.5E Re-Writable LCD Writing Pad with Screen 21.5cm (8.5-inch) for Drawing, Playing, Handwriting Gifts for Kids & Adults,(Black)",149.0,149.0,0.0
"Portronics Snapcase 3 60W Multifunctional Fast Charging Data Cable Kit, Conversion Set USB A & Type C to Male Micro/Type C/Lightning, Data Transfer, Sim Storage, Sim Eject Pin, Pocket Size(Blue)",269.0,269.0,0.0
"Portronics Ruffpad 15 Re-Writable LCD Screen 38.1cm (15-inch) Writing Pad for Drawing, Playing, Handwriting Gifts for Kids & Adults",989.0,989.0,0.0
"GLUN® Electronic Portable Digital LED Screen Luggage Weighing Scale, 50 kg/110 Lb For Multi-Purpose Use.",248.0,248.0,0.0
"Portronics Power Shutter 20000mAh 15W Magnetic Wireless Fast Charging Powerbank with in-Built Type C & 8 Pin Cable, 22.5W Type C PD Output, Type C Bidirectional Port, LED Display (Black)",1848.0,1848.0,0.0
"UNIGEN® Uniplay 300 Mini with WiFi 6 and Bluetooth, Native HD 720P Outdoor Portable Projector, 8K Lumen, Auto Keystone Home Theater Movie Projector for iOS/HDMI/TV Stick/PS5",5998.0,5998.0,0.0
"Vooki Electronic Components Cleaner Spray with Rapid Dry Technology, Home and Commercial Use - 500ml (Pack of 2)",498.0,498.0,0.0
"SaleOn 8.3x5 Inch Tech Pouch Organizer with 1 Year Warranty – Portable Storage Organizer for USB Cable, Charger, Earphone, Power Bank, Hard Disk & Digital Gadgets, Travel Mobile Bag for Men",298.0,298.0,0.0
"Portronics Snapcase 2 60W Multifunctional Fast Charging Data Cable Kit With Retractable Cable, Conversion Set USB A & Type C to Male Micro/Lightning,Sim Storage,Sim Eject Pin",449.0,449.0,0.0
"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Black",3989.0,3989.0,0.0
"SaleOn Cable Organizer Case Bag – Electronics Accessories Travel Gadget & Hard Disk Bag – Water-Resistant Portable Storage, Sleek Black (6-Month Warranty)",298.0,298.0,0.0
Shocknshop Digital Sports Stylish Multifunctional Electronic LED Black Dial Wrist Watch for Men Boys -WCH78,499.0,499.0,0.0
"Portronics Trifusion 16W HD Sound Bluetooth Speaker with 15W Wireless Charging, 360°RGB LED Lights, Digital Clock with Alarm Setting, Built-in White Noise, USB/SD Card/AUX in, Type C Charging(Black)",1449.0,1449.0,0.0
"Electrobot Starter Kit (70 ITEMS) 20+ DIY Projects with Electronics Components Breadboard, LEDs, Resistors, Switches etc",284.0,284.0,0.0
"APC Back-UPS BX600C-IN 600VA / 360W, 230V, UPS System, an Ideal Power Backup & Protection for Home Office, Desktop PC & Home Electronics",3599.0,3599.0,0.0
"HART X2 Smart Ring, 8+ Days Battery, Fitness Tracker for Sleep, Recovery, Stress, Workout, Live Heartrate, Calories, Smart Ring for Men & Women, Buy Sizing Kit First, Titanium (Sterling Gold, 7)",19499.0,19499.0,0.0
"AGARO Compressed Air Duster,Air Blower, Powerful 48000 RPM, Variable Speed, Copper Motor, Air Spray/Blower for Electronics & Inflatables, Dust Cleaner for Computer, Laptop, Home, Car & Office, AD1719",2599.0,2599.0,0.0
"Portronics Beem 450 Smart LED Projector with 1080p Full HD Resolution, Built-in Streaming Apps (Netflix, Prime Video, Hotstar), 4000 Lumens, Screen Mirroring, 3 Watt Speaker, Bluetooth, Wi-Fi (White)",7999.0,7999.0,0.0
"GM G+ Compact Travel Adapter | Universal All-in-One Worldwide Plug (US/UK/EU/AU) | Multi-Device Charging | Smart Safety Protection | Foldable, Fire-Resistant Travel Charger for 150+ Countries - White",699.0,699.0,0.0
"Havells Glamax 9W B22 WiFi LED Smart Bulb with Music Sync Function, Compatible with Amazon Alexa and Google Assistant (16M Colours)",412.0,412.0,0.0
Storio Rechargeable Pocket Video Game for Kids 400 in 1 Retro Game Box Console Handheld Game Box with TV Output - Multicolor,599.0,599.0,0.0
"GoTrippin by Destinio Weight Machine for Luggage - 50 kg capacity, Steel body, Lifetime replacement - Digital Portable Electronic Luggage Weighing Scale for home, travel, flights, bags (Silver, 50 kg)",610.0,610.0,0.0
"rts USB Universal Travel Adapter, International All in One Worldwide Travel Adapter and Wall Charger Travel Accessories with Multi Type Power Outlet USB 2.1A, 100-250 Voltage Travel Charger (Black)",499.0,499.0,0.0
"Wembley Rechargeable Karaoke Mic with Speaker for Singing | Wireless Mini Portable Bluetooth Speaker with Microphone & LED Lights | Cute Birthday Gift for Kids Musical Toys for Boys, Girls and Adults",548.0,548.0,0.0
"AGARO Elite Rechargeable Mini Electric Chopper, Food Grade Bowl, Stainless Steel Blades, Rechargeable, One Touch Operation, for Chopping Garlic, Ginger, Onion, Vegetable, Nuts, 250 Ml, Black",599.0,599.0,0.0
Acnos Luminous LED Display Fashionable Children's Digital Watches - Waterproof Sports Square Electronic Led Watch for Boy & Girl,299.0,299.0,0.0
"Portronics Beem 550 Smart Android Projector, HD 1080P, Height & Angle Adjustable Design, in-Built Apps, Auto Keystone,Screen Mirroring,6000 Lumens,5W Speaker,HDMI in,USB in,WiFi,BT",9499.0,9499.0,0.0
THEMISTO - built with passion Themisto Beginners 8 In 1 Corded_electric Soldering Iron Kit,259.0,259.0,0.0
Themisto TH-WS15 Electronic digital Kitchen Weighing Scale |10 Kg|Back Light LCD| Made In India with 1 Year Warranty,434.0,434.0,0.0
"Portronics Bridge Y USB 3.0 to Type C OTG Adaptor, 10Gbps High Speed Data Transfer, Thunderbolt to USB Adapter, Compatible for All Type C Devices, Smartphone, Laptops, Tablets, Chargers, MacBook",119.0,119.0,0.0
"Amazon Basics Travel Organiser for Electronic Accessories, Flexible Padded Dividers, Waterproof, Foam Padding, for Cables, Chargers, Hard Disk, Power Bank",469.0,469.0,0.0
Practical Electronics for Inventors,3879.0,3879.0,0.0
"Portronics MODESK Universal Mobile Holder Stand with Metal Body, Anti Skid Design, Light Weight for All Smartphones, Tablets, Kindle, iPad(Black)",119.0,119.0,0.0
